Sexo;Provincia;Municipio;Fecha;Total
Hombres;Madrid;Aldea del Fresno;1 de enero de 2022;1653
Hombres;Madrid;Algete;1 de enero de 2022;10181
Hombres;Madrid;Alpedrete;1 de enero de 2022;7380
Hombres;Madrid;Ambite;1 de enero de 2022;324
Hombres;Madrid;Anchuelo;1 de enero de 2022;702
Hombres;Madrid;Aranjuez;1 de enero de 2022;29046
Hombres;Madrid;Arganda del Rey;1 de enero de 2022;28729
Hombres;Madrid;Arroyomolinos;1 de enero de 2022;17313
Hombres;Madrid;Atazar, El;1 de enero de 2022;60
Hombres;Madrid;Batres;1 de enero de 2022;941
Hombres;Madrid;Becerril de la Sierra;1 de enero de 2022;3085
Hombres;Madrid;Belmonte de Tajo;1 de enero de 2022;910
Hombres;Madrid;Berrueco, El;1 de enero de 2022;406
Hombres;Madrid;Berzosa del Lozoya;1 de enero de 2022;129
Hombres;Madrid;Boadilla del Monte;1 de enero de 2022;30630
Hombres;Madrid;Boalo, El;1 de enero de 2022;4100
Hombres;Madrid;Braojos;1 de enero de 2022;132
Hombres;Madrid;Brea de Tajo;1 de enero de 2022;307
Hombres;Madrid;Brunete;1 de enero de 2022;5335
Hombres;Madrid;Buitrago del Lozoya;1 de enero de 2022;931
Hombres;Madrid;Bustarviejo;1 de enero de 2022;1350
Hombres;Madrid;Cabanillas de la Sierra;1 de enero de 2022;453
Hombres;Madrid;Cabrera, La;1 de enero de 2022;1383
Hombres;Madrid;Cadalso de los Vidrios;1 de enero de 2022;1664
Hombres;Madrid;Camarma de Esteruelas;1 de enero de 2022;3837
Hombres;Madrid;Campo Real;1 de enero de 2022;3365
Hombres;Madrid;Canencia;1 de enero de 2022;242
Hombres;Madrid;Carabaña;1 de enero de 2022;1105
Hombres;Madrid;Casarrubuelos;1 de enero de 2022;2032
Hombres;Madrid;Cenicientos;1 de enero de 2022;1045
Hombres;Madrid;Cercedilla;1 de enero de 2022;3740
Hombres;Madrid;Cervera de Buitrago;1 de enero de 2022;100
Hombres;Madrid;Chapineria;1 de enero de 2022;1266
Hombres;Madrid;Chinchon;1 de enero de 2022;2838
Hombres;Madrid;Ciempozuelos;1 de enero de 2022;12799
Hombres;Madrid;Cobeña;1 de enero de 2022;3697
Hombres;Madrid;Collado Mediano;1 de enero de 2022;3702
Hombres;Madrid;Collado Villalba;1 de enero de 2022;31170
Hombres;Madrid;Colmenar de Oreja;1 de enero de 2022;4295
Hombres;Madrid;Colmenar del Arroyo;1 de enero de 2022;1020
Hombres;Madrid;Colmenar Viejo;1 de enero de 2022;26267
Hombres;Madrid;Colmenarejo;1 de enero de 2022;4652
Hombres;Madrid;Corpa;1 de enero de 2022;384
Hombres;Madrid;Coslada;1 de enero de 2022;39281
Hombres;Madrid;Cubas de la Sagra;1 de enero de 2022;3352
Hombres;Madrid;Daganzo de Arriba;1 de enero de 2022;5310
Hombres;Madrid;Escorial, El;1 de enero de 2022;8200
Hombres;Madrid;Estremera;1 de enero de 2022;720
Hombres;Madrid;Fresnedillas de la Oliva;1 de enero de 2022;898
Hombres;Madrid;Fresno de Torote;1 de enero de 2022;1294
Hombres;Madrid;Fuenlabrada;1 de enero de 2022;93170
Hombres;Madrid;Fuente el Saz de Jarama;1 de enero de 2022;3530
Hombres;Madrid;Fuentidueña de Tajo;1 de enero de 2022;1139
Hombres;Madrid;Galapagar;1 de enero de 2022;16914
Hombres;Madrid;Garganta de los Montes;1 de enero de 2022;214
Hombres;Madrid;Gargantilla del Lozoya y Pinilla de Buitrago;1 de enero de 2022;206
Hombres;Madrid;Gascones;1 de enero de 2022;114
Hombres;Madrid;Getafe;1 de enero de 2022;89393
Hombres;Madrid;Griñon;1 de enero de 2022;5189
Hombres;Madrid;Guadalix de la Sierra;1 de enero de 2022;3355
Hombres;Madrid;Guadarrama;1 de enero de 2022;8343
Hombres;Madrid;Hiruela, La;1 de enero de 2022;50
Hombres;Madrid;Horcajo de la Sierra-Aoslos;1 de enero de 2022;107
Hombres;Madrid;Horcajuelo de la Sierra;1 de enero de 2022;58
Hombres;Madrid;Hoyo de Manzanares;1 de enero de 2022;4443
Hombres;Madrid;Humanes de Madrid;1 de enero de 2022;9869
Hombres;Madrid;Leganes;1 de enero de 2022;90038
Hombres;Madrid;Loeches;1 de enero de 2022;4496
Hombres;Madrid;Lozoya;1 de enero de 2022;322
Hombres;Madrid;Lozoyuela-Navas-Sieteiglesias;1 de enero de 2022;759
Hombres;Madrid;Madarcos;1 de enero de 2022;32
Hombres;Madrid;Madrid;1 de enero de 2022;1531214
Hombres;Madrid;Majadahonda;1 de enero de 2022;34148
Hombres;Madrid;Manzanares el Real;1 de enero de 2022;4667
Hombres;Madrid;Meco;1 de enero de 2022;7635
Hombres;Madrid;Mejorada del Campo;1 de enero de 2022;11830
Hombres;Madrid;Miraflores de la Sierra;1 de enero de 2022;3440
Hombres;Madrid;Molar, El;1 de enero de 2022;4774
Hombres;Madrid;Molinos, Los;1 de enero de 2022;2323
Hombres;Madrid;Montejo de la Sierra;1 de enero de 2022;183
Hombres;Madrid;Moraleja de Enmedio;1 de enero de 2022;2701
Hombres;Madrid;Moralzarzal;1 de enero de 2022;6937
Hombres;Madrid;Morata de Tajuña;1 de enero de 2022;4009
Hombres;Madrid;Mostoles;1 de enero de 2022;101318
Hombres;Madrid;Navacerrada;1 de enero de 2022;1594
Hombres;Madrid;Navalafuente;1 de enero de 2022;810
Hombres;Madrid;Navalagamella;1 de enero de 2022;1442
Hombres;Madrid;Navalcarnero;1 de enero de 2022;15585
Hombres;Madrid;Navarredonda y San Mames;1 de enero de 2022;85
Hombres;Madrid;Navas del Rey;1 de enero de 2022;1625
Hombres;Madrid;Nuevo Baztan;1 de enero de 2022;3468
Hombres;Madrid;Olmeda de las Fuentes;1 de enero de 2022;193
Hombres;Madrid;Orusco de Tajuña;1 de enero de 2022;695
Hombres;Madrid;Paracuellos de Jarama;1 de enero de 2022;13246
Hombres;Madrid;Parla;1 de enero de 2022;64847
Hombres;Madrid;Patones;1 de enero de 2022;257
Hombres;Madrid;Pedrezuela;1 de enero de 2022;3175
Hombres;Madrid;Pelayos de la Presa;1 de enero de 2022;1454
Hombres;Madrid;Perales de Tajuña;1 de enero de 2022;1573
Hombres;Madrid;Pezuela de las Torres;1 de enero de 2022;492
Hombres;Madrid;Pinilla del Valle;1 de enero de 2022;106
Hombres;Madrid;Pinto;1 de enero de 2022;26726
Hombres;Madrid;Piñuecar-Gandullas;1 de enero de 2022;96
Hombres;Madrid;Pozuelo de Alarcon;1 de enero de 2022;41989
Hombres;Madrid;Pozuelo del Rey;1 de enero de 2022;611
Hombres;Madrid;Pradena del Rincon;1 de enero de 2022;84
Hombres;Madrid;Puebla de la Sierra;1 de enero de 2022;51
Hombres;Madrid;Puentes Viejas;1 de enero de 2022;386
Hombres;Madrid;Quijorna;1 de enero de 2022;1852
Hombres;Madrid;Rascafria;1 de enero de 2022;939
Hombres;Madrid;Redueña;1 de enero de 2022;165
Hombres;Madrid;Ribatejada;1 de enero de 2022;454
Hombres;Madrid;Rivas-Vaciamadrid;1 de enero de 2022;47889
Hombres;Madrid;Robledillo de la Jara;1 de enero de 2022;59
Hombres;Madrid;Robledo de Chavela;1 de enero de 2022;2400
Hombres;Madrid;Robregordo;1 de enero de 2022;39
Hombres;Madrid;Rozas de Madrid, Las;1 de enero de 2022;46232
Hombres;Madrid;Rozas de Puerto Real;1 de enero de 2022;336
Hombres;Madrid;San Agustin del Guadalix;1 de enero de 2022;6636
Hombres;Madrid;San Fernando de Henares;1 de enero de 2022;18960
Hombres;Madrid;San Lorenzo de El Escorial;1 de enero de 2022;8811
